model,class,metric,value
bevfusion_lidar_cam,car,AP_dist_1.0,0.9016287132782189
bevfusion_lidar_cam,car,AP_dist_2.0,0.9271969038846616
bevfusion_lidar_cam,car,AP_dist_4.0,0.9373412458793122
bevfusion_lidar_cam,car,trans_err,0.16949225114047667
bevfusion_lidar_cam,car,scale_err,0.14998266947707253
bevfusion_lidar_cam,car,orient_err,0.06299907875171226
bevfusion_lidar_cam,car,vel_err,0.2849538783689279
bevfusion_lidar_cam,car,attr_err,0.18484242551986538
bevfusion_lidar_cam,truck,AP_dist_0.5,0.44350047349387944
bevfusion_lidar_cam,truck,AP_dist_1.0,0.6375904589999118
bevfusion_lidar_cam,truck,AP_dist_2.0,0.722024129280503
bevfusion_lidar_cam,truck,AP_dist_4.0,0.758662432529227
bevfusion_lidar_cam,truck,trans_err,0.31801106033367427
bevfusion_lidar_cam,truck,scale_err,0.18076314061083257
bevfusion_lidar_cam,truck,orient_err,0.08092730609436119
bevfusion_lidar_cam,truck,vel_err,0.2536276623917995
bevfusion_lidar_cam,truck,attr_err,0.22498267880460307
bevfusion_lidar_cam,bus,AP_dist_0.5,0.5035512478242209
bevfusion_lidar_cam,bus,AP_dist_1.0,0.7741105522487866
bevfusion_lidar_cam,bus,AP_dist_2.0,0.8874524102302344
bevfusion_lidar_cam,bus,AP_dist_4.0,0.9082154635273716
bevfusion_lidar_cam,bus,trans_err,0.3301310698110615
bevfusion_lidar_cam,bus,scale_err,0.1847851600567506
bevfusion_lidar_cam,bus,orient_err,0.058102745444795885
bevfusion_lidar_cam,bus,vel_err,0.47136074751171997
bevfusion_lidar_cam,bus,attr_err,0.2575150702324942
bevfusion_lidar_cam,trailer,AP_dist_0.5,0.16762342202993114
bevfusion_lidar_cam,trailer,AP_dist_1.0,0.4492641373513212
bevfusion_lidar_cam,trailer,AP_dist_2.0,0.60924767572997
bevfusion_lidar_cam,trailer,AP_dist_4.0,0.6926273738175572
bevfusion_lidar_cam,trailer,trans_err,0.5013564115720677
bevfusion_lidar_cam,trailer,scale_err,0.21038118711755482
bevfusion_lidar_cam,trailer,orient_err,0.6252727920897864
bevfusion_lidar_cam,trailer,vel_err,0.18990747545831138
bevfusion_lidar_cam,trailer,attr_err,0.17025999742011722
bevfusion_lidar_cam,construction_vehicle,AP_dist_0.5,0.046661857187590854
bevfusion_lidar_cam,construction_vehicle,AP_dist_1.0,0.2140013213600419
bevfusion_lidar_cam,construction_vehicle,AP_dist_2.0,0.3877266643766062
bevfusion_lidar_cam,construction_vehicle,AP_dist_4.0,0.5144800640942725
bevfusion_lidar_cam,construction_vehicle,trans_err,0.6932806680994161
bevfusion_lidar_cam,construction_vehicle,scale_err,0.42418245429585355
bevfusion_lidar_cam,construction_vehicle,orient_err,0.8344597726002608
bevfusion_lidar_cam,construction_vehicle,vel_err,0.1282195829342401
bevfusion_lidar_cam,construction_vehicle,attr_err,0.3100319408298501
bevfusion_lidar_cam,pedestrian,AP_dist_0.5,0.8638770496616694
bevfusion_lidar_cam,pedestrian,AP_dist_1.0,0.8742290531472455
bevfusion_lidar_cam,pedestrian,AP_dist_2.0,0.8852103745532582
bevfusion_lidar_cam,pedestrian,AP_dist_4.0,0.8949789810058829
bevfusion_lidar_cam,pedestrian,trans_err,0.12976055610619752
bevfusion_lidar_cam,pedestrian,scale_err,0.29189989012393175
bevfusion_lidar_cam,pedestrian,orient_err,0.3942210543939844
bevfusion_lidar_cam,pedestrian,vel_err,0.22679926900535075
bevfusion_lidar_cam,pedestrian,attr_err,0.10445658386738664
bevfusion_lidar_cam,motorcycle,AP_dist_0.5,0.656094640934932
bevfusion_lidar_cam,motorcycle,AP_dist_1.0,0.7813688944098298
bevfusion_lidar_cam,motorcycle,AP_dist_2.0,0.7927502603959745
bevfusion_lidar_cam,motorcycle,AP_dist_4.0,0.8037805801533707
bevfusion_lidar_cam,motorcycle,trans_err,0.18542103506409247
bevfusion_lidar_cam,motorcycle,scale_err,0.23860633421282415
bevfusion_lidar_cam,motorcycle,orient_err,0.2579519528401485
bevfusion_lidar_cam,motorcycle,vel_err,0.47640924661656014
bevfusion_lidar_cam,motorcycle,attr_err,0.23749191348717053
bevfusion_lidar_cam,bicycle,AP_dist_0.5,0.5915676627378962
bevfusion_lidar_cam,bicycle,AP_dist_1.0,0.6203451798158102
bevfusion_lidar_cam,bicycle,AP_dist_2.0,0.629082489030137
bevfusion_lidar_cam,bicycle,AP_dist_4.0,0.6428606605709352
bevfusion_lidar_cam,bicycle,trans_err,0.15453033643179848
bevfusion_lidar_cam,bicycle,scale_err,0.2568604431022405
bevfusion_lidar_cam,bicycle,orient_err,0.32101141917373427
bevfusion_lidar_cam,bicycle,vel_err,0.20812682978926136
bevfusion_lidar_cam,bicycle,attr_err,0.009916559722580529
bevfusion_lidar_cam,traffic_cone,AP_dist_0.5,0.7667100002184641
bevfusion_lidar_cam,traffic_cone,AP_dist_1.0,0.7770268047245764
bevfusion_lidar_cam,traffic_cone,AP_dist_2.0,0.7948623568808939
bevfusion_lidar_cam,traffic_cone,AP_dist_4.0,0.8200681711923055
bevfusion_lidar_cam,traffic_cone,trans_err,0.12200986971028532
bevfusion_lidar_cam,traffic_cone,scale_err,0.32655409271331043
bevfusion_lidar_cam,traffic_cone,orient_err,
bevfusion_lidar_cam,traffic_cone,vel_err,
bevfusion_lidar_cam,traffic_cone,attr_err,
bevfusion_lidar_cam,barrier,AP_dist_0.5,0.6235280273555592
bevfusion_lidar_cam,barrier,AP_dist_1.0,0.7183719248887112
bevfusion_lidar_cam,barrier,AP_dist_2.0,0.7558040987057029
bevfusion_lidar_cam,barrier,AP_dist_4.0,0.7677987128259047
bevfusion_lidar_cam,barrier,trans_err,0.18277379797593957
bevfusion_lidar_cam,barrier,scale_err,0.2850872766083536
bevfusion_lidar_cam,barrier,orient_err,0.05974138563521132
bevfusion_lidar_cam,barrier,vel_err,
bevfusion_lidar_cam,barrier,attr_err,
centerpoint_0075voxel,car,AP_dist_0.5,0.7492982110453746
centerpoint_0075voxel,car,AP_dist_1.0,0.850457639032623
centerpoint_0075voxel,car,AP_dist_2.0,0.8827540857322239
centerpoint_0075voxel,car,AP_dist_4.0,0.8955104268753027
centerpoint_0075voxel,car,trans_err,0.17946646747842063
centerpoint_0075voxel,car,scale_err,0.1513174964004075
centerpoint_0075voxel,car,orient_err,0.11354491078641223
centerpoint_0075voxel,car,vel_err,0.28848144113886137
centerpoint_0075voxel,car,attr_err,0.1917914529389784
centerpoint_0075voxel,truck,AP_dist_0.5,0.35096941845997287
centerpoint_0075voxel,truck,AP_dist_1.0,0.5045958703038388
centerpoint_0075voxel,truck,AP_dist_2.0,0.5853541717332366
centerpoint_0075voxel,truck,AP_dist_4.0,0.6354369394551111
centerpoint_0075voxel,truck,trans_err,0.32813354730038224
centerpoint_0075voxel,truck,scale_err,0.18511265744737115
centerpoint_0075voxel,truck,orient_err,0.07994245309651371
centerpoint_0075voxel,truck,vel_err,0.2716701758924374
centerpoint_0075voxel,truck,attr_err,0.23365149958364706
centerpoint_0075voxel,bus,AP_dist_0.5,0.41560003883637625
centerpoint_0075voxel,bus,AP_dist_1.0,0.6506392016288255
centerpoint_0075voxel,bus,AP_dist_2.0,0.7621775065816712
centerpoint_0075voxel,bus,AP_dist_4.0,0.792516247669729
centerpoint_0075voxel,bus,trans_err,0.3315035975230854
centerpoint_0075voxel,bus,scale_err,0.17996831532711205
centerpoint_0075voxel,bus,orient_err,0.04692761564651344
centerpoint_0075voxel,bus,vel_err,0.5102158330107317
centerpoint_0075voxel,bus,attr_err,0.25692322809167895
centerpoint_0075voxel,trailer,AP_dist_0.5,0.0709320809882574
centerpoint_0075voxel,trailer,AP_dist_1.0,0.2759370521185461
centerpoint_0075voxel,trailer,AP_dist_2.0,0.42224346877747926
centerpoint_0075voxel,trailer,AP_dist_4.0,0.5178860468720385
centerpoint_0075voxel,trailer,trans_err,0.5500913030818606
centerpoint_0075voxel,trailer,scale_err,0.2129515907520589
centerpoint_0075voxel,trailer,orient_err,0.6096290014685509
